name,measure,measure_info,geo_type_name,geo_place_name,time_period,start_date,unique_id,indicator_id,geo_join_id,data_value
Ozone (O3),Mean,ppb,UHF42,Fresh Meadows,Summer 2015,6/1/2015,176032,375,310,31.53
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Upper East Side,Annual Average 2011,12/1/2010,412510,375,310,31.52
Ozone (O3),Mean,ppb,CD,St. George and Stapleton (CD1),Summer 2012,6/1/2012,412537,375,409,31.52
Ozone (O3),Mean,ppb,CD,Bensonhurst (CD11),Summer 2014,6/1/2014,602810,375,409,31.52
Ozone (O3),Mean,ppb,UHF42,Pelham - Throgs Neck,Summer 2018,6/1/2018,669748,365,403,31.52
Ozone (O3),Mean,ppb,UHF34,Pelham - Throgs Neck,Summer 2018,6/1/2018,547592,365,503504,31.52
Ozone (O3),Mean,ppb,CD,Hunts Point and Longwood (CD2),Summer 2020,6/1/2020,547590,365,503504,31.52
Ozone (O3),Mean,ppb,CD,Kingsbridge Heights and Bedford (CD7),Summer 2022,6/1/2022,669614,365,503504,31.52
Annual vehicle miles traveled (cars),Million miles,per square mile,UHF42,Willowbrook,2019,1/1/2019,212094,365,503504,31.51
Ozone (O3),Mean,ppb,UHF42,High Bridge - Morrisania,Summer 2022,6/1/2022,173699,365,503504,31.51
Ozone (O3),Mean,ppb,UHF42,East New York,Summer 2013,6/1/2013,173665,365,503504,31.51
Ozone (O3),Mean,ppb,UHF34,East New York,Summer 2013,6/1/2013,410957,365,503504,31.51
Nitrogen dioxide (NO2),Mean,ppb,CD,Rego Park and Forest Hills (CD6),Winter 2010-11,12/1/2010,410958,365,503504,31.50
Ozone (O3),Mean,ppb,UHF42,Sunset Park,Summer 2011,6/1/2011,549794,375,205,31.50
Ozone (O3),Mean,ppb,UHF34,Sunset Park,Summer 2011,6/1/2011,175365,375,405,31.50
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Chelsea-Village,Winter 2014-15,12/1/2014,175911,375,405,31.49
Ozone (O3),Mean,ppb,UHF34,Northeast Bronx,Summer 2014,6/1/2014,176709,375,405,31.49
Ozone (O3),Mean,ppb,UHF34,Rockaways,Summer 2020,6/1/2020,549857,375,405,31.49
Ozone (O3),Mean,ppb,UHF42,Rockaways,Summer 2020,6/1/2020,740991,375,405,31.49
Nitrogen dioxide (NO2),Mean,ppb,CD,Midtown (CD5),Winter 2018-19,12/1/2018,823358,365,503504,31.49
Ozone (O3),Mean,ppb,UHF42,Northeast Bronx,Summer 2014,6/1/2014,174243,365,503504,31.49
Ozone (O3),Mean,ppb,UHF42,Hunts Point - Mott Haven,Summer 2020,6/1/2020,173189,365,503504,31.49
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Long Island City - Astoria,Winter 2010-11,12/1/2010,173631,365,503504,31.48
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Long Island City - Astoria,Winter 2010-11,12/1/2010,334176,365,503504,31.48
Ozone (O3),Mean,ppb,CD,Crown Heights and Prospect Heights (CD8),Summer 2012,6/1/2012,649910,365,106,31.48
Ozone (O3),Mean,ppb,UHF34,Central Harlem - Morningside Heights,Summer 2023,6/1/2023,169326,365,406,31.47
Ozone (O3),Mean,ppb,UHF42,Central Harlem - Morningside Heights,Summer 2023,6/1/2023,168559,365,406,31.47
Ozone (O3),Mean,ppb,CD,St. George and Stapleton (CD1),Summer 2011,6/1/2011,175331,375,503,31.47
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Upper East Side-Gramercy,Summer 2012,6/1/2012,549850,375,403,31.46
Nitrogen dioxide (NO2),Mean,ppb,CD,Brownsville (CD16),Winter 2008-09,12/1/2008,667239,375,403,31.46
Ozone (O3),Mean,ppb,CD,Flushing and Whitestone (CD7),Summer 2013,6/1/2013,549772,375,105,31.46
Ozone (O3),Mean,ppb,CD,Jamaica and Hollis (CD12),Summer 2018,6/1/2018,670949,386,403,31.46
Ozone (O3),Mean,ppb,Borough,Queens,Summer 2018,6/1/2018,740899,375,103,31.46
Ozone (O3),Mean,ppb,UHF42,Crotona -Tremont,Summer 2011,6/1/2011,412494,375,305,31.46
Nitrogen dioxide (NO2),Mean,ppb,CD,Kingsbridge Heights and Bedford (CD7),Winter 2008-09,12/1/2008,175941,375,303,31.46
Ozone (O3),Mean,ppb,UHF42,Southeast Queens,Summer 2021,6/1/2021,173155,365,503504,31.45
Ozone (O3),Mean,ppb,UHF34,Southeast Queens,Summer 2021,6/1/2021,173223,365,503504,31.45
Ozone (O3),Mean,ppb,CD,Throgs Neck and Co-op City (CD10),Summer 2019,6/1/2019,605886,365,503504,31.45
Ozone (O3),Mean,ppb,UHF42,Bensonhurst - Bay Ridge,Summer 2013,6/1/2013,172642,375,309310,31.44
Nitrogen dioxide (NO2),Mean,ppb,CD,Lower East Side and Chinatown (CD3),Winter 2009-10,12/1/2009,336704,375,309310,31.44
Ozone (O3),Mean,ppb,UHF34,Bensonhurst - Bay Ridge,Summer 2013,6/1/2013,643532,375,309310,31.44
Ozone (O3),Mean,ppb,CD,Williamsbridge and Baychester (CD12),Summer 2014,6/1/2014,602921,375,501502,31.44
Ozone (O3),Mean,ppb,UHF42,Flushing - Clearview,Summer 2013,6/1/2013,741106,375,309310,31.43
Ozone (O3),Mean,ppb,UHF34,Flushing - Clearview,Summer 2013,6/1/2013,172166,375,309310,31.43
Ozone (O3),Mean,ppb,UHF42,Bedford Stuyvesant - Crown Heights,Summer 2011,6/1/2011,412640,375,309310,31.43
Ozone (O3),Mean,ppb,UHF34,Bedford Stuyvesant - Crown Heights,Summer 2011,6/1/2011,741112,375,501502,31.43
Ozone (O3),Mean,ppb,UHF42,East Flatbush - Flatbush,Summer 2019,6/1/2019,172134,375,501502,31.43
Ozone (O3),Mean,ppb,UHF42,Long Island City - Astoria,Summer 2015,6/1/2015,172168,375,501502,31.43
Ozone (O3),Mean,ppb,UHF34,East Flatbush - Flatbush,Summer 2019,6/1/2019,412647,375,501502,31.43
Ozone (O3),Mean,ppb,UHF34,Long Island City - Astoria,Summer 2015,6/1/2015,518974,657,501,31.43
Ozone (O3),Mean,ppb,CD,Kingsbridge Heights and Bedford (CD7),Summer 2011,6/1/2011,131363,657,101,31.43
Ozone (O3),Mean,ppb,CD,Central Harlem (CD10),Summer 2016,6/1/2016,131401,657,501,31.42
Ozone (O3),Mean,ppb,CD,Jamaica and Hollis (CD12),Summer 2021,6/1/2021,628523,657,501,31.41
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Upper East Side-Gramercy,Winter 2014-15,12/1/2014,131257,657,501,31.41
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Union Square-Lower Manhattan,Annual Average 2011,12/1/2010,667496,375,501502,31.41
Ozone (O3),Mean,ppb,UHF42,Pelham - Throgs Neck,Summer 2015,6/1/2015,877079,375,501502,31.41
Ozone (O3),Mean,ppb,UHF42,Hunts Point - Mott Haven,Summer 2014,6/1/2014,877081,375,501502,31.41
Ozone (O3),Mean,ppb,Borough,Staten Island,Summer 2014,6/1/2014,172644,375,501502,31.41
Ozone (O3),Mean,ppb,UHF34,Pelham - Throgs Neck,Summer 2015,6/1/2015,171726,375,501502,31.41
Asthma emergency department visits due to PM2.5,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Canarsie - Flatlands,2015-2017,1/1/2015,336710,375,501502,31.40
Asthma emergency department visits due to PM2.5,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Coney Island - Sheepshead Bay,2015-2017,1/1/2015,643538,375,501502,31.40
Nitrogen dioxide (NO2),Mean,ppb,CD,Clinton and Chelsea (CD4),Annual Average 2012,12/1/2011,167660,375,310,31.40
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East New York,2005-2007,1/1/2005,167542,375,310,31.40
Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",UHF42,Long Island City - Astoria,2015-2017,1/1/2015,667717,375,310,31.40
Deaths due to PM2.5,Estimated annual rate (age 30+),"per 100,000 adults",Borough,Queens,2015-2017,1/1/2015,167544,375,312,31.40
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Long Island City - Astoria,Winter 2008-09,12/1/2008,643372,375,301,31.39
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Long Island City - Astoria,Winter 2008-09,12/1/2008,602818,375,501,31.39
Ozone (O3),Mean,ppb,UHF42,Crotona -Tremont,Summer 2022,6/1/2022,175287,375,501,31.39
Ozone (O3),Mean,ppb,CD,Lower East Side and Chinatown (CD3),Summer 2022,6/1/2022,603092,375,412,31.37
Nitrogen dioxide (NO2),Mean,ppb,CD,Brownsville (CD16),Winter 2010-11,12/1/2010,741284,375,412,31.37
Ozone (O3),Mean,ppb,CD,Morris Park and Bronxdale (CD11),Summer 2014,6/1/2014,667869,375,503,31.37
Ozone (O3),Mean,ppb,UHF34,Bayside Little Neck-Fresh Meadows,Summer 2015,6/1/2015,603054,375,317,31.37
Ozone (O3),Mean,ppb,CD,Sunset Park (CD7),Summer 2011,6/1/2011,550111,375,317,31.37
Ozone (O3),Mean,ppb,Citywide,New York City,Summer 2014,6/1/2014,550113,375,317,31.37
Ozone (O3),Mean,ppb,CD,Bayside and Little Neck (CD11),Summer 2015,6/1/2015,550033,375,203,31.36
Ozone (O3),Mean,ppb,CD,South Crown Heights and Lefferts Gardens (CD9),Summer 2011,6/1/2011,165813,375,204,31.36
Ozone (O3),Mean,ppb,UHF42,Central Harlem - Morningside Heights,Summer 2016,6/1/2016,165931,375,204,31.35
Ozone (O3),Mean,ppb,UHF34,Central Harlem - Morningside Heights,Summer 2016,6/1/2016,169353,365,204,31.35
Ozone (O3),Mean,ppb,CD,Queens Village (CD13),Summer 2021,6/1/2021,169412,365,204,31.35
Ozone (O3),Mean,ppb,CD,Parkchester and Soundview (CD9),Summer 2014,6/1/2014,410972,365,103,31.34
Ozone (O3),Mean,ppb,UHF42,Jamaica,Summer 2018,6/1/2018,410973,365,103,31.33
Ozone (O3),Mean,ppb,UHF34,Jamaica,Summer 2018,6/1/2018,168498,365,404,31.33
Ozone (O3),Mean,ppb,UHF34,Ridgewood - Forest Hills,Summer 2014,6/1/2014,168616,365,404,31.33
Ozone (O3),Mean,ppb,UHF42,Ridgewood - Forest Hills,Summer 2014,6/1/2014,333994,365,208,31.33
Ozone (O3),Mean,ppb,CD,Bensonhurst (CD11),Summer 2018,6/1/2018,649707,365,208,31.33
Ozone (O3),Mean,ppb,CD,Morris Park and Bronxdale (CD11),Summer 2020,6/1/2020,874317,365,208,31.33
Ozone (O3),Mean,ppb,UHF42,Bensonhurst - Bay Ridge,Summer 2014,6/1/2014,178433,365,407,31.32
Nitrogen dioxide (NO2),Mean,ppb,CD,Woodside and Sunnyside (CD2),Winter 2008-09,12/1/2008,874443,365,407,31.32
Ozone (O3),Mean,ppb,UHF34,Bensonhurst - Bay Ridge,Summer 2014,6/1/2014,334024,365,307,31.32
Ozone (O3),Mean,ppb,CD,Park Slope and Carroll Gardens (CD6),Summer 2010,6/1/2010,334027,365,308,31.31
Ozone (O3),Mean,ppb,UHF34,Flushing - Clearview,Summer 2019,6/1/2019,547388,365,107,31.31
Ozone (O3),Mean,ppb,CD,East New York and Starrett City (CD5),Summer 2021,6/1/2021,177216,365,408,31.31
Ozone (O3),Mean,ppb,CD,Hillcrest and Fresh Meadows (CD8),Summer 2015,6/1/2015,547473,365,408,31.30
Ozone (O3),Mean,ppb,UHF42,Flushing - Clearview,Summer 2019,6/1/2019,669731,365,408,31.30
Ozone (O3),Mean,ppb,CD,Riverdale and Fieldston (CD8),Summer 2011,6/1/2011,173225,365,101,31.30
Cardiovascular hospitalizations due to PM2.5 (age 40+),Estimated annual rate,"per 100,000 adults",Borough,Bronx,2005-2007,1/1/2005,669711,365,101,31.30
Ozone (O3),Mean,ppb,UHF34,Ridgewood - Forest Hills,Summer 2019,6/1/2019,334082,365,102,31.30
Ozone (O3),Mean,ppb,UHF42,Ridgewood - Forest Hills,Summer 2019,6/1/2019,212066,365,201,31.30
Ozone (O3),Mean,ppb,Borough,Staten Island,Summer 2013,6/1/2013,547542,365,302,31.30
Ozone (O3),Mean,ppb,UHF34,Flushing - Clearview,Summer 2018,6/1/2018,547544,365,302,31.29
Ozone (O3),Mean,ppb,CD,Flushing and Whitestone (CD7),Summer 2018,6/1/2018,669662,365,302,31.29
Ozone (O3),Mean,ppb,Borough,Brooklyn,Summer 2014,6/1/2014,173213,365,405,31.29
Ozone (O3),Mean,ppb,CD,Morningside Heights and Hamilton Heights (CD9),Summer 2016,6/1/2016,628569,650,409,31.29
Ozone (O3),Mean,ppb,UHF42,Sunset Park,Summer 2015,6/1/2015,669729,365,409,31.29
Ozone (O3),Mean,ppb,UHF34,Sunset Park,Summer 2015,6/1/2015,649772,365,409,31.29
Ozone (O3),Mean,ppb,CD,Highbridge and Concourse (CD4),Summer 2022,6/1/2022,742244,365,310,31.29
Ozone (O3),Mean,ppb,CD,South Beach and Willowbrook (CD2),Summer 2013,6/1/2013,518903,648,209,31.28
Ozone (O3),Mean,ppb,UHF42,Flushing - Clearview,Summer 2018,6/1/2018,518924,648,409,31.28
Ozone (O3),Mean,ppb,CD,Flushing and Whitestone (CD7),Summer 2019,6/1/2019,628473,648,409,31.28
Ozone (O3),Mean,ppb,CD,Jamaica and Hollis (CD12),Summer 2013,6/1/2013,131522,650,209,31.27
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Lower Manhattan,Summer 2010,6/1/2010,176017,375,206,31.27
Ozone (O3),Mean,ppb,UHF42,Bayside - Little Neck,Summer 2015,6/1/2015,176059,375,206,31.27
Ozone (O3),Mean,ppb,CD,Lower East Side and Chinatown (CD3),Summer 2023,6/1/2023,740938,375,209,31.26
Nitrogen dioxide (NO2),Mean,ppb,CD,Clinton and Chelsea (CD4),Summer 2010,6/1/2010,412509,375,310,31.25
Nitrogen dioxide (NO2),Mean,ppb,CD,Stuyvesant Town and Turtle Bay (CD6),Winter 2017-18,12/1/2017,175947,375,309,31.25
Ozone (O3),Mean,ppb,Borough,Bronx,Summer 2013,6/1/2013,412535,375,409,31.25
Ozone (O3),Mean,ppb,UHF42,High Bridge - Morrisania,Summer 2010,6/1/2010,412536,375,409,31.25
Ozone (O3),Mean,ppb,UHF42,Upper East Side,Summer 2023,6/1/2023,336507,375,106,31.24
Ozone (O3),Mean,ppb,UHF34,Kingsbridge - Riverdale,Summer 2011,6/1/2011,602835,375,103,31.24
Ozone (O3),Mean,ppb,UHF42,Kingsbridge - Riverdale,Summer 2011,6/1/2011,211783,375,305307,31.24
Ozone (O3),Mean,ppb,UHF34,Northeast Bronx,Summer 2018,6/1/2018,171689,375,306308,31.24
Ozone (O3),Mean,ppb,UHF42,Northeast Bronx,Summer 2018,6/1/2018,177907,365,206,31.24
Nitrogen dioxide (NO2),Mean,ppb,CD,Financial District (CD1),Summer 2010,6/1/2010,742271,365,409,31.24
Ozone (O3),Mean,ppb,CD,South Crown Heights and Lefferts Gardens (CD9),Summer 2015,6/1/2015,823218,365,409,31.24
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Gramercy Park - Murray Hill,Annual Average 2015,1/1/2015,130433,640,409,31.23
Ozone (O3),Mean,ppb,CD,Elmhurst and Corona (CD4),Summer 2015,6/1/2015,410814,365,309,31.23
Ozone (O3),Mean,ppb,CD,East Flatbush (CD17),Summer 2014,6/1/2014,177823,365,206,31.23
Ozone (O3),Mean,ppb,CD,Upper East Side (CD8),Summer 2023,6/1/2023,177865,365,206,31.22
Ozone (O3),Mean,ppb,CD,Kew Gardens and Woodhaven (CD9),Summer 2018,6/1/2018,823277,365,210,31.21
Ozone (O3),Mean,ppb,CD,Long Island City and Astoria (CD1),Summer 2013,6/1/2013,178537,365,206,31.21
Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Long Island City - Astoria,2012-2014,1/2/2012,178561,365,409,31.20
Ozone (O3),Mean,ppb,CD,East New York and Starrett City (CD5),Summer 2017,6/1/2017,816813,643,101,31.20
Ozone (O3),Mean,ppb,CD,Sunset Park (CD7),Summer 2015,6/1/2015,816721,643,501,31.20
Ozone (O3),Mean,ppb,UHF42,Union Square - Lower East Side,Summer 2022,6/1/2022,816911,643,502,31.20
Ozone (O3),Mean,ppb,CD,Fordham and University Heights (CD5),Summer 2022,6/1/2022,173257,365,503504,31.20
Ozone (O3),Mean,ppb,CD,Central Harlem (CD10),Summer 2022,6/1/2022,334175,365,503504,31.20
Ozone (O3),Mean,ppb,UHF34,Northern SI,Summer 2015,6/1/2015,874539,365,503504,31.19
Ozone (O3),Mean,ppb,CD,Brownsville (CD16),Summer 2014,6/1/2014,547741,365,406,31.19
Nitrogen dioxide (NO2),Mean,ppb,CD,Clinton and Chelsea (CD4),Winter 2016-17,12/1/2016,169296,365,206,31.19
Ozone (O3),Mean,ppb,CD,Parkchester and Soundview (CD9),Summer 2015,6/1/2015,649887,365,503504,31.19
Nitrogen dioxide (NO2),Mean,ppb,UHF34,South Bronx,Winter 2010-11,12/1/2010,669616,365,503504,31.18
Ozone (O3),Mean,ppb,UHF34,Bedford Stuyvesant - Crown Heights,Summer 2015,6/1/2015,174141,365,503504,31.18
Ozone (O3),Mean,ppb,UHF42,Bedford Stuyvesant - Crown Heights,Summer 2015,6/1/2015,211992,365,503504,31.18
Nitrogen dioxide (NO2),Mean,ppb,CD,Central Harlem (CD10),Annual Average 2009,12/1/2008,334174,365,503504,31.17
Ozone (O3),Mean,ppb,CD,East Flatbush (CD17),Summer 2018,6/1/2018,412488,375,303,31.17
Nitrogen dioxide (NO2),Mean,ppb,CD,Upper East Side (CD8),Annual Average 2010,12/1/2009,412460,375,205,31.17
Ozone (O3),Mean,ppb,CD,Bensonhurst (CD11),Summer 2021,6/1/2021,412461,375,205,31.17
Ozone (O3),Mean,ppb,UHF34,Southwest Queens,Summer 2017,6/1/2017,175972,375,203,31.16
Ozone (O3),Mean,ppb,UHF42,Southwest Queens,Summer 2017,6/1/2017,412434,375,103,31.16
Ozone (O3),Mean,ppb,Borough,Bronx,Summer 2014,6/1/2014,336550,375,303,31.15
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Chelsea-Village,Winter 2017-18,12/1/2017,743652,386,503504,31.14
Ozone (O3),Mean,ppb,UHF42,Stapleton - St. George,Summer 2014,6/1/2014,221985,386,503504,31.14
Ozone (O3),Mean,ppb,CD,Long Island City and Astoria (CD1),Summer 2014,6/1/2014,221984,386,503504,31.14
Ozone (O3),Mean,ppb,CD,Williamsbridge and Baychester (CD12),Summer 2018,6/1/2018,172135,375,503504,31.14
Ozone (O3),Mean,ppb,CD,Flatbush and Midwood (CD14),Summer 2019,6/1/2019,172169,375,503504,31.14
Ozone (O3),Mean,ppb,UHF42,Willowbrook,Summer 2014,6/1/2014,412649,375,503504,31.13
Ozone (O3),Mean,ppb,Borough,Brooklyn,Summer 2013,6/1/2013,221982,386,503504,31.13
Ozone (O3),Mean,ppb,UHF34,Jamaica,Summer 2013,6/1/2013,221983,386,503504,31.12
Ozone (O3),Mean,ppb,UHF42,Jamaica,Summer 2013,6/1/2013,412068,386,503504,31.12
Nitrogen dioxide (NO2),Mean,ppb,CD,Upper East Side (CD8),Summer 2009,6/1/2009,168529,365,206,31.12
Ozone (O3),Mean,ppb,CD,Jamaica and Hollis (CD12),Summer 2017,6/1/2017,334332,365,408,31.12
Ozone (O3),Mean,ppb,UHF42,High Bridge - Morrisania,Summer 2011,6/1/2011,547747,365,408,31.12
Nitrogen dioxide (NO2),Mean,ppb,UHF42,West Queens,Winter 2008-09,12/1/2008,742542,365,408,31.11
Nitrogen dioxide (NO2),Mean,ppb,UHF34,West Queens,Winter 2008-09,12/1/2008,169284,365,106,31.11
Ozone (O3),Mean,ppb,CD,Morris Park and Bronxdale (CD11),Summer 2018,6/1/2018,742410,365,106,31.11
Nitrogen dioxide (NO2),Mean,ppb,CD,Midtown (CD5),Annual Average 2018,1/1/2018,605981,365,306,31.10
Ozone (O3),Mean,ppb,UHF34,Williamsburg - Bushwick,Summer 2015,6/1/2015,742445,365,206,31.10
Nitrogen dioxide (NO2),Mean,ppb,CD,Financial District (CD1),Annual Average 2012,12/1/2011,606041,365,408,31.10
Ozone (O3),Mean,ppb,UHF42,Williamsburg - Bushwick,Summer 2015,6/1/2015,167719,375,310,31.10
Ozone (O3),Mean,ppb,CD,Kew Gardens and Woodhaven (CD9),Summer 2021,6/1/2021,167721,375,312,31.09
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Union Square-Lower Manhattan,Annual Average 2010,12/1/2009,667166,375,301,31.09
Ozone (O3),Mean,ppb,CD,Bayside and Little Neck (CD11),Summer 2018,6/1/2018,643373,375,301,31.09
Ozone (O3),Mean,ppb,CD,Rego Park and Forest Hills (CD6),Summer 2015,6/1/2015,876916,375,301,31.08
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Union Square - Lower East Side,Winter 2012-13,12/1/2012,602723,375,201,31.08
Ozone (O3),Mean,ppb,CD,Ridgewood and Maspeth (CD5),Summer 2013,6/1/2013,741008,375,501,31.08
Ozone (O3),Mean,ppb,UHF42,East New York,Summer 2021,6/1/2021,825989,375,501,31.08
Ozone (O3),Mean,ppb,UHF34,East New York,Summer 2021,6/1/2021,412543,375,501,31.08
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Lower Manhattan,Annual Average 2012,12/1/2011,334067,365,501,31.07
Ozone (O3),Mean,ppb,CD,Parkchester and Soundview (CD9),Summer 2018,6/1/2018,212706,365,501,31.07
Ozone (O3),Mean,ppb,Borough,Brooklyn,Summer 2019,6/1/2019,177157,365,301,31.07
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Central Harlem - Morningside Heights,Annual Average 2009,12/1/2008,742278,365,501,31.06
Ozone (O3),Mean,ppb,UHF42,Port Richmond,Summer 2012,6/1/2012,177241,365,301,31.06
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Central Harlem - Morningside Heights,Annual Average 2009,12/1/2008,825988,375,501,31.06
Nitrogen dioxide (NO2),Mean,ppb,CD,Stuyvesant Town and Turtle Bay (CD6),Winter 2015-16,12/1/2015,876976,375,501,31.05
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Lower Manhattan,Summer 2011,6/1/2011,175455,375,501,31.05
Annual vehicle miles traveled,Million miles,per square mile,UHF42,Stapleton - St. George,2010,1/1/2010,176589,375,501,31.05
Ozone (O3),Mean,ppb,CD,East Flatbush (CD17),Summer 2021,6/1/2021,643433,375,501,31.04
Ozone (O3),Mean,ppb,CD,Rego Park and Forest Hills (CD6),Summer 2019,6/1/2019,602725,375,201,31.03
Ozone (O3),Mean,ppb,UHF42,Fresh Meadows,Summer 2018,6/1/2018,643432,375,501,31.03
Annual vehicle miles traveled,Million miles,per square mile,UHF42,Willowbrook,2010,1/1/2010,825987,375,501,31.02
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Upper East Side,Annual Average 2010,12/1/2009,212328,375,501,31.02
Ozone (O3),Mean,ppb,UHF42,Port Richmond,Summer 2011,6/1/2011,175267,375,301,31.02
Ozone (O3),Mean,ppb,CD,East Flatbush (CD17),Summer 2013,6/1/2013,826031,375,212,31.02
Nitrogen dioxide (NO2),Mean,ppb,CD,Financial District (CD1),Summer 2011,6/1/2011,826378,375,410,31.02
Ozone (O3),Mean,ppb,CD,Highbridge and Concourse (CD4),Summer 2010,6/1/2010,826070,375,412,31.01
Ozone (O3),Mean,ppb,CD,Greenpoint and Williamsburg (CD1),Summer 2015,6/1/2015,825816,375,112,31.01
Ozone (O3),Mean,ppb,UHF42,Union Square - Lower East Side,Summer 2023,6/1/2023,166854,375,412,31.00
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Chelsea-Village,Summer 2012,6/1/2012,166913,375,412,31.00
Ozone (O3),Mean,ppb,UHF34,Bayside Little Neck-Fresh Meadows,Summer 2018,6/1/2018,743598,386,410,31.00
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,Fordham - Bronx Pk,2017-2019,1/1/2017,216587,386,410,31.00
Asthma emergency departments visits due to Ozone,Estimated annual rate (age 18+),"per 100,000 adults",UHF42,Downtown - Heights - Slope,2017-2019,1/1/2017,216588,386,410,31.00
Asthma hospitalizations due to Ozone,Estimated annual rate (under age 18),"per 100,000 children",UHF42,East Harlem,2017-2019,1/1/2017,741009,375,501,31.00
Nitrogen dioxide (NO2),Mean,ppb,CD,Upper West Side (CD7),Winter 2013-14,12/1/2013,336562,375,307,31.00
Ozone (O3),Mean,ppb,UHF42,Jamaica,Summer 2021,6/1/2021,176543,375,407,30.99
Ozone (O3),Mean,ppb,UHF34,Jamaica,Summer 2021,6/1/2021,643422,375,407,30.99
Ozone (O3),Mean,ppb,CD,Morningside Heights and Hamilton Heights (CD9),Summer 2023,6/1/2023,549865,375,408,30.99
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Upper West Side,Winter 2013-14,12/1/2013,222614,386,408,30.99
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Upper West Side,Winter 2013-14,12/1/2013,222615,386,408,30.99
Ozone (O3),Mean,ppb,Citywide,New York City,Summer 2013,6/1/2013,176072,375,308,30.99
Ozone (O3),Mean,ppb,CD,Bushwick (CD4),Summer 2014,6/1/2014,176030,375,308,30.98
Ozone (O3),Mean,ppb,CD,Elmhurst and Corona (CD4),Summer 2020,6/1/2020,740969,375,308,30.98
Ozone (O3),Mean,ppb,UHF42,Bayside - Little Neck,Summer 2018,6/1/2018,176071,375,307,30.98
Ozone (O3),Mean,ppb,CD,Park Slope and Carroll Gardens (CD6),Summer 2012,6/1/2012,131541,650,407,30.97
Ozone (O3),Mean,ppb,UHF34,Greenpoint,Summer 2015,6/1/2015,131542,650,408,30.97
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Crotona -Tremont,Winter 2010-11,12/1/2010,874441,365,408,30.97
Ozone (O3),Mean,ppb,UHF42,Greenpoint,Summer 2015,6/1/2015,823221,365,408,30.97
Ozone (O3),Mean,ppb,CD,Fordham and University Heights (CD5),Summer 2010,6/1/2010,605768,365,408,30.97
Nitrogen dioxide (NO2),Mean,ppb,UHF34,Upper East Side-Gramercy,Annual Average 2014,12/1/2013,177930,365,408,30.96
Ozone (O3),Mean,ppb,UHF34,Ridgewood - Forest Hills,Summer 2018,6/1/2018,177972,365,408,30.96
Ozone (O3),Mean,ppb,UHF34,Long Island City - Astoria,Summer 2020,6/1/2020,823224,365,407,30.96
Ozone (O3),Mean,ppb,UHF42,Long Island City - Astoria,Summer 2020,6/1/2020,605765,365,407,30.96
Nitrogen dioxide (NO2),Mean,ppb,CD,Morningside Heights and Hamilton Heights (CD9),Annual Average 2009,12/1/2008,742265,365,407,30.96
Nitrogen dioxide (NO2),Mean,ppb,Borough,Manhattan,Annual Average 2011,12/1/2010,177929,365,407,30.96
Ozone (O3),Mean,ppb,UHF42,Ridgewood - Forest Hills,Summer 2018,6/1/2018,177971,365,407,30.96
Ozone (O3),Mean,ppb,CD,Brownsville (CD16),Summer 2018,6/1/2018,605738,365,308,30.95
Ozone (O3),Mean,ppb,UHF34,East Flatbush - Flatbush,Summer 2018,6/1/2018,177919,365,307,30.95
Ozone (O3),Mean,ppb,CD,Woodside and Sunnyside (CD2),Summer 2014,6/1/2014,605735,365,307,30.95
Ozone (O3),Mean,ppb,UHF42,East Flatbush - Flatbush,Summer 2018,6/1/2018,742235,365,307,30.95
Nitrogen dioxide (NO2),Mean,ppb,UHF42,Upper East Side,Summer 2009,6/1/2009,628451,648,208,30.94
Ozone (O3),Mean,ppb,UHF42,East Flatbush - Flatbush,Summer 2014,6/1/2014,628471,648,407,30.94
Ozone (O3),Mean,ppb,UHF42,West Queens,Summer 2020,6/1/2020,130800,648,207,30.94
